,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Greece,Greece,GPE,-0.58958333,0.67152778,en,6.00000000,4022047-3,390903,A,39.0,22.0,EUROPE-AFRICA,Greece,MED
Albania,Albania,GPE,-0.14000000,0.30000000,en,5.00000000,4001028-4,783754,A,41.0,20.0,EUROPE-AFRICA,Albania,MED
Ioannina,Ioannina,GPE,-0.48750000,0.50000000,en,2.00000000,4197925-4,261779,P,39.66341,20.85187,EUROPE-AFRICA,Greece,MED
Igoumenitsa,Igoumenitsa,LOC,-0.28125000,0.41041667,en,1.00000000,,261807,P,39.50342,20.26728,EUROPE-AFRICA,Greece,MED
Plataria,Plataria,GPE,-0.28125000,0.41041667,en,1.00000000,,255013,P,39.45044,20.27781,EUROPE-AFRICA,Greece,MED
Corfu,Corfu,LOC,-1.27500000,1.30833333,en,1.00000000,4192393-5,2463679,P,39.62441,19.92016,EUROPE-AFRICA,Greece,MED
Vonica,Vonica,GPE,-0.41250000,0.52083333,en,1.00000000,,0,,,,,,
Aitoloakarnania - Roads,Aitoloakarnania - Roads,LOC,-0.35000000,0.33333333,en,1.00000000,,0,,,,,,
North Aegean,North Aegean,GPE,-0.30000000,0.38888889,en,1.00000000,,6697806,A,37.71942,26.81956,EUROPE-AFRICA,Greece,MED
Eastern Aegean,Eastern Aegean,LOC,-1.47000000,1.58666667,en,1.00000000,,0,L,37.99758,25.78002,,,
Attica,Attica,GPE,-0.32380952,0.43650794,en,1.00000000,,6692632,A,37.92037,23.9035,EUROPE-AFRICA,Greece,MED
Piraeus,Piraeus,GPE,-0.40000000,0.53333333,en,1.00000000,4115976-7,255274,P,37.94203,23.64619,EUROPE-AFRICA,Greece,MED
Tzoumerka,Tzoumerka,GPE,-0.40000000,0.53333333,en,1.00000000,4761899-1,264382,T,39.44766,21.15341,EUROPE-AFRICA,Greece,MED
