,phrase,label,sentiment,subjectivity,language,count
|,|,DATE,,,en,4.0
Dodecanese,Dodecanese,NORP,,,en,1.8
Epirus,Epirus,NORP,,,en,1.0
112 rang,112 rang,MONEY,,,en,1.0
night,night,TIME,,,en,1.0
200 mm,200 mm,QUANTITY,,,en,1.0
yesterday,yesterday,DATE,,,en,1.0
late afternoon,late afternoon,TIME,,,en,1.0
noon,noon,TIME,,,en,1.0
today,today,DATE,,,en,1.0
Adel,Adel,PRODUCT,,,en,1.0
Red Code,Red Code,WORK_OF_ART,,,en,1.0
Friday,Friday,DATE,,,en,1.0
10,10,CARDINAL,,,en,1.0
Bad,Bad,WORK_OF_ART,,,en,1.0
tonight,tonight,TIME,,,en,1.0
the next few hours,the next few hours,TIME,,,en,1.0
112,112,CARDINAL,,,en,1.0
the last few days,the last few days,DATE,,,en,1.0
Albania: Biblical,Albania: Biblical,WORK_OF_ART,,,en,1.0
hundreds,hundreds,CARDINAL,,,en,1.0
Deadly,Deadly,PRODUCT,,,en,1.0
Hundreds,Hundreds,CARDINAL,,,en,1.0
next week,next week,DATE,,,en,1.0
Vonitsa,Vonitsa,WORK_OF_ART,,,en,1.0
dozens,dozens,CARDINAL,,,en,1.0
Saturday,Saturday,DATE,,,en,1.0
