index,published,topic,term,domain,language,valid,de,title,description,en,la,url,image,archive,content,quote,added,feed,country,ipcc,continent
138c06b9e75ee46bf0d6cffac84045a5,2025-11-27T10:26:14Z,Thunderstorm,χαλάζι Δωδεκάνησα,www.newsit.gr,el,0.0,"Schlechtes Wetter Adel bringt bis Freitag starke Regenfälle und Stürme in 10 Gebieten – „Roter Code“ sowohl für die Nordägäis als auch für den Dodekanes. In den nächsten Stunden werden heftige Regenfälle, Stürme, Hagel und starke Winde erwartet, heißt es in der aktualisierten Wettermeldung zur Verschlechterung des Notfalls, herausgegeben vom Ministerium für... 
Der Artikel Schlechtes Wetter Adel bringt starke Regenfälle und Stürme in 10 Regionen…",Η κακοκαιρία Adel φέρνει ισχυρές βροχές και καταιγίδες σε 10 περιοχές μέχρι την Παρασκευή – «Red Code» και για Βόρειο Αιγαίο και Δωδεκάνησα,"Ισχυρές βροχές, καταιγίδες, χαλάζι και σφοδροί άνεμοι, αναμένονται και τις επόμενες ώρες σύμφωνα με το επικαιροποιήμενο έκτακτο δελτίο επιδείνωσης καιρού που εξέδωσε η ΕΜΥ για ... 
To άρθρο Η κακοκαιρία Adel φέρνει ισχυρές βροχές και καταιγίδες σε 10 περιοχές…","Bad weather Adel brings heavy rains and storms to 10 areas until Friday – ""Red Code"" for both North Aegean and Dodecanese. Heavy rains, storms, hail and strong winds are also expected in the next few hours according to the updated emergency worsening weather report issued by the EMY for ... The article Bad weather Adel brings heavy rains and storms to 10 areas...","Tempestas mala Adel graves pluvias et tempestates ad 10 areas usque ad Veneris diem - ""Red Code"" affert pro Aegaeo Septentrionali et Dodecanesi. Imbres, procellae, grandines et venti validi in proximis horis exspectantur secundum condicionem renovatam ingravescentem tempestatem bulletin editam a Ministerio... 
Articulus Mala tempestas Adel affert pluvias et tempestates ad 10 regiones…",https://www.newsit.gr/ellada/i-kakokairia-adel-fernei-isxyres-vroxes-kai-kataigides-se-10-perioxes-mexri-tin-paraskeyi-red-code-kai-gia-voreio-aigaio-kai-dodekanisa/4536823/,https://www.newsit.gr/wp-content/uploads/2025/11/kataigida-kairos-eurok-1200x630.jpg,,", , , Adel .
 , (28.11.2025) , , , , , , , .
 , , , , , , , , ’ .
 :
.
 .
« . . 6 (25-11-25) . .
 ADEL (27-11-25) (28-11-25) . .
 :
 (27-11-25) :
 , , , , , , , .
 (28-11-25) :
. , , , 
… [+567 chars]",,2025-12-11 21:00:32+00:00,wmo,Greece,MED,Europe
8de2c488d202ca3bbf3e6f4a06e0de25,2025-11-29T08:44:40Z,Thunderstorm,χαλάζι Δωδεκάνησα,www.newsit.gr,el,0.0,"Schlechtes Wetter Adel hält in der östlichen Ägäis und auf dem Dodekanes mit Regenfällen und Stürmen an – Code Red gilt. Das schlechte Wetter Adel bleibt mit starken Auswirkungen bestehen und mehrere Regionen des Landes verbrachten eine schwierige Nacht mit Stürmen und Hagel. Für heute Samstag (29.11.2025) starke Regenfälle ... 
Der Artikel Schlechtes Wetter Adel bleibt in der östlichen Ägäis und auf dem Dodekanes mit Regenfällen bestehen...",Η κακοκαιρία Adel επιμένει σε Ανατολικό Αιγαίο και Δωδεκάνησα με βροχές και καταιγίδες – Σε ισχύ το Red Code,"Η κακοκαιρία Adel επιμένει με έντονα φαινόμενα και αρκετές περιοχές της χώρας πέρασαν δύσκολη νύχτα με καταιγίδες και χαλάζι. Για σήμερα Σάββατο (29.11.2025) ισχυρές βροχές ... 
To άρθρο Η κακοκαιρία Adel επιμένει σε Ανατολικό Αιγαίο και Δωδεκάνησα με βροχές …",Bad weather Adel persists in Eastern Aegean and Dodecanese with rains and storms – Code Red is in force. Bad weather Adel persists with strong effects and several regions of the country spent a difficult night with storms and hail. For today Saturday (29.11.2025) heavy rains ... The article Bad weather Adel persists in Eastern Aegean and Dodecanese with rains ...,"Tempestas Adel in Oriente Aegaeo et Dodecanese cum imbribus et procellis persistit – Codex Rubeus in effectu est. Tempestas Adel cum validis effectibus persistit et complures regiones regionis difficilis noctes cum procellis et grandine consumpsit. Hodie enim Sabbati (29.11.2025) imbribus .. . 
Articulus tempestatis Adel in Aegaeo et Dodecanesi orientali cum imbribus persistit.",https://www.newsit.gr/ellada/i-kakokairia-adel-epimenei-se-anatoliko-aigaio-kai-dodekanisa-me-vroxes-kai-kataigides-se-isxy-to-red-code/4538565/,https://www.newsit.gr/wp-content/uploads/2025/11/6754722-1200x630.jpg,,"Adel .
 (29.11.2025) , .
 ADEL , , .
 . , 30 , , , .
 , , 127 , 27 49 .
  . , .
, .
, , , «MARBELA» , «MIRA MARE».
 «». .
 , , .
“RED CODE” , , , ,  , , ().
, :
 , , , , , , . .
 . 4 6 7… [+39 chars]",,2025-12-11 21:00:32+00:00,wmo,Greece,MED,Europe
4b5c1aa2745f358c9a59535669be84e8,2025-11-29T05:37:37Z,Thunderstorm,κακοκαιρία νησιά Δωδεκάνησα,www.naftemporiki.gr,el,0.8,"Schlechtes Wetter: „Adel“ bleibt mit starken Regenfällen und Stürmen bestehen – Wo Unwetter erwartet werden. Heftige Regenfälle und Stürme werden heute auf den Inseln der östlichen Ägäis bis zum Mittag und auf den Dodekanes bis zum späten Nachmittag vorhergesagt, da das schlechte Wetter Adel weiterhin seine „Zähne“ zeigt... Schlechtes Wetter: „Adel“ hält an mit starken Regenfällen und Kat...",Κακοκαιρία: Επιμένει η «Adel» με ισχυρές βροχές και καταιγίδες – Πού αναμένονται έντονα καιρικά φαινόμενα,"Iσχυρές βροχές και καταιγίδες προβλέπονται σήμερα στα νησιά του Ανατολικού Αιγαίου μέχρι το μεσημέρι και στα Δωδεκάνησα μέχρι αργά το απόγευμα, καθώς η κακοκαιρία Adel συνεχίζει να δείχνει τα «δόντια»…
Κακοκαιρία: Επιμένει η «Adel» με ισχυρές βροχές και καται…","Bad weather: ""Adel"" persists with heavy rains and storms - Where severe weather is expected. Heavy rains and storms are forecast today in the Eastern Aegean islands until noon and in the Dodecanese until late afternoon, as the bad weather Adel continues to show its ""teeth""... Bad weather: ""Adel"" persists with heavy rains and cat...","Tempestas: ""Adel"" cum imbribus et procellis persistit - Ubi gravis tempestas exspectatur. Imbres et tempestates hodie praenuntiant in insulis Aegaeis orientalibus usque ad meridiem et in Dodecanese usque ad meridiem, sicut tempestatibus Adel pergit ostendere ""dentes"".
Tempestatibus: ""Adel"" cum imbribus perseverat et...",https://www.naftemporiki.gr/society/2040038/kakokairia-epimenei-i-adel-me-ischyres-vroches-kai-kataigides-poy-anamenontai-entona-kairika-fainomena/,https://www.naftemporiki.gr/wp-content/uploads/2022/11/vroxi.jpg,,"I , Adel «» .
 . , , , , , , . .
 .
 4 6 7 , 4 5, 6 .
 . 16 18 , 19 21 22 14 16 .
, , , . 4 5 3 4 . 09 18 .
 . . 4 5 . 07 14 .
 :
, 
: . . .
: 3 5 .
: 08 15 16 . 3 5 .
 , , , 
: , .
: 3… [+321 chars]",,2025-12-12 20:55:25+00:00,wmo,Greece,MED,Europe
b550f094a0593e66936f88edb23618fd,2025-11-19T07:52:00Z,Precipitation,βροχόπτωση ελλάδα,www.protothema.gr,el,0.0,"Schlechtes Wetter: Probleme durch die Stürme in Epirus und Thesprotia – Blitzschäden an Häusern, in Papigo die höchsten Regenmengen. Die anhaltenden Regenfälle führten zu Problemen in der Wasserversorgung der Stadt Florina. Schlechtes Wetter | Wetter | Sturm | Epirus | Thesprotia | Griechenland","Κακοκαιρία: Προβλήματα από τις καταιγίδες σε Ήπειρο και Θεσπρωτία - Ζημιές από κεραυνούς σε σπίτια, στο Πάπιγκο τα μεγαλύτερα ύψη βροχής",Η συνεχής βροχόπτωση προκάλεσε προβλήματα στην υδροδότηση της πόλης της Φλώρινας | Κακοκαιρία | Καιρός | Καταιγίδα | Ήπειρος | Θεσπρωτία | Ελλάδα,"Bad weather: Problems from the storms in Epirus and Thesprotia - Lightning damage to houses, in Papigo the highest levels of rain. The continuous rainfall caused problems in the water supply of the city of Florina Bad weather | Weather | Storm | Epirus | Thesprotia | Greece",Tempestates: Problemata de procellis in Epiro et Thesprotia - De caelo laesione domorum in Papigo supremis pluviae gradibus. Imbribus continuis difficultates in urbe Florina tempestatibus aquarum | Tempestas | Storm | Epirus | Thesprotia | Graecia,https://www.protothema.gr/greece/article/1729180/kakokairia-provlimata-apo-tis-kataigides-se-ipeiro-kai-thesprotia-zimies-apo-keraunous/,https://www.protothema.gr/images/640x360share/1/png/files/2025-11-19/%CF%83%CF%84%CE%B9%CE%B3%CE%BC%CE%B9%CE%BF%CF%84%CF%85%CF%80%CE%BF_%CE%BF%CE%B8%CE%BF%CE%BD%CE%B7%CF%82_2025-11-19_094701.png,,"To view this video please enable JavaScript, and consider upgrading to a
 web browser that supports HTML5 video",,,wmo,Greece,MED,Europe
6691b4a05df0c2c6b88b71eaef658e57,2025-11-26T19:42:45Z,Thunderstorm,έντονα καιρικά φαινόμενα στην Ελλάδα,www.newsit.gr,el,0.0,"Schlechtes Wetter Adel „trifft“ Westgriechenland: 112 wurde in Korfu und Aitolo-Akarnanien gerufen – Straßen wurden überflutet. In Ätolo-Akarnanien und Korfu wurde Alarm wegen der Unwetterphänomene ausgelöst, die heute Abend (26.11.2025) aufgrund des schlechten Wetters Adel voraussichtlich in den nächsten Stunden „eintreten“ werden. ... 
Der Artikel Schlechtes Wetter Adel „trifft“ Westgriechenland: 112 klingelte in Ker...",Η κακοκαιρία Adel «χτυπά» τη Δυτική Ελλάδα: Ήχησε το 112 σε Κέρκυρα και Αιτωλοακαρνανία – Πλημμύρησαν δρόμοι,"Συναγερμός σήμανε στην Αιτωλοακαρνανία και την Κέρκυρα για τα έντονα καιρικά φαινόμενα που αναμένεται να «χτυπήσουν» τις επόμενες ώρες απόψε (26.11.2025), λόγω της κακοκαιρίας Adel. ... 
To άρθρο Η κακοκαιρία Adel «χτυπά» τη Δυτική Ελλάδα: Ήχησε το 112 σε Κέρ…","Bad weather Adel ""hits"" Western Greece: 112 was called in Corfu and Aitoloakarnania - Roads were flooded. An alarm was sounded in Etoloakarnania and Corfu for the severe weather phenomena expected to ""hit"" in the next few hours tonight (26.11.2025), due to the bad weather Adel. ... The article Bad weather Adel ""hits"" Western Greece: 112 rang in Ker...","Tempestates Adel ""hits"" Graeciae occidentalis: 112 in Corcyra et Aitoloakarnania dicta est - Viae inundatae sunt. Tumultus in Etoloakarnania et Corcyra obsonuerunt ob gravibus tempestatibus phaenomena se ""percutere"" in proximis horis hac nocte (26.11.2025), propter tempestatem Adel. ... 
Articulum tempestatibus Adel ""hits"" Western Graeciam: 112 sonuere in Ker...",https://www.newsit.gr/ellada/i-kakokairia-adel-xtypa-ti-dytiki-ellada-ixise-to-112-se-kerkyra-kai-aitoloakarnania-plimmyrisan-dromoi/4536423/,https://www.newsit.gr/wp-content/uploads/2025/11/kairos-keraunoi-1200x630.jpg,,"«» (26.11.2025), Adel.
 112 , 21:00, «» .
 . , «» , .
« », 112.
 112 .
 : « , . ».
 pic.twitter.com/xdKlYK3Xpa
November 26, 2025
pic.twitter.com/ODI70vaA7Q
November 26, 2025
 :
 , , , , , … [+41 chars]",,,wmo,Greece,MED,Europe
ef66069b8a4f3aee55800014c9c41de9,2025-11-29T05:40:00Z,Precipitation,βροχόπτωση ελλάδα,www.protothema.gr,el,0.0,Schlechtes Wetter Adel: Probleme gestern in Attika durch starken Regen und Hagel - Heute begrenzte Phänomene. Schäden an Autos in Piräus durch einen umstürzenden Baum - Die Regenhöhe in Tzoumerka überstieg 200 mm - Wo werden heute stärkere Auswirkungen erwartet | Wetter | Schlechtes Wetter | Griechenland,Κακοκαιρία Adel: Προβλήματα χθες στην Αττική από την έντονη βροχόπτωση και το χαλάζι - Περιορισμένα φαινόμενα σήμερα,Ζημιές σε αυτοκίνητα στην Πειραιώς από πτώση δέντρου - Ξεπέρασε τα 200 mm το ύψος βροχής στα Τζουμέρκα - Πού αναμένονται σήμερα εντονότερα φαινόμενα | Καιρός | Κακοκαιρία | Ελλάδα,Bad weather Adel: Problems yesterday in Attica from heavy rain and hail - Limited effects today. Damage to cars in Piraeus from a falling tree - The height of rain exceeded 200 mm in Tzoumerka - Where are stronger effects expected today | Weather | Bad weather | Greece,Tempestates Adel: Problemata heri in Attica de pluvia et grandine - Effectus hodierni. Damnum carris in Piraeo ex arbore caduca - Altitudo pluviae 200 mm in Tzoumerka exceditur - Ubi validiores effectus hodie exspectantur | Tempestas | Bad weather | Graecia,https://www.protothema.gr/greece/article/1734921/kakokairia-adel-provlimata-hthes-stin-attiki-apo-tin-edoni-vrohoptosi-kai-to-halazi-periorismena-fainomena-simera/,https://www.protothema.gr/images/640x360share/jpg/files/2025-11-29/lesvos.jpg,,", .
 - 200 mm 
. 26/11 , &amp; , 28/11, , . , ., meteo.gr / , 100 36 , 80 63 60 138 . , 3 , , 200 , , 900-1000 .

I , , . , . . , . . .2 9 , 5 12-14, 5 14-16 , 6 14, 9 14-17 , 11 15-16, 10 15-17 12… [+157 chars]",,,wmo,Greece,MED,Europe
7a2bb7bf0cff88d862d2bd5129af786f,2025-11-19T12:27:00Z,Precipitation,βροχόπτωση ελλάδα,www.protothema.gr,el,1.0,"Schlechtes Wetter in Igoumenitsa: Die Straße nach Plataria ist wegen starken Regens gesperrt, siehe Video. Probleme auch auf Korfu Schlechtes Wetter | Korfu | Igoumenitsa | Griechenland","Κακοκαιρία στην Ηγουμενίτσα: Κλειστός ο δρόμος προς Πλαταριά από την ισχυρή βροχόπτωση, δείτε βίντεο",Προβλήματα και στην Κέρκυρα | Κακοκαιρία | Κέρκυρα | Ηγουμενίτσα | Ελλάδα,"Bad weather in Igoumenitsa: The road to Plataria is closed due to heavy rain, see video. Problems in Corfu too Bad weather | Corfu | Igoumenitsa | Greece","Tempestas in Igoumenitsa: Via ad Platariam clausa est propter pluviam gravem, videre video. Problemata in Corcyra quoque Bad weather | Corfu | Igoumenitsa | Graecia",https://www.protothema.gr/greece/article/1729455/igoumenitsa-kleistos-o-dromos-pros-plataria-apo-tin-ishuri-vrohoptosi-deite-video/,https://www.protothema.gr/images/640x360share/1/png/files/2025-11-19/%CF%83%CF%84%CE%B9%CE%B3%CE%BC%CE%B9%CE%BF%CF%84%CF%85%CF%80%CE%BF_%CE%BF%CE%B8%CE%BF%CE%BD%CE%B7%CF%82_2025-11-19_142531.png,,"30% smartwatch 199, Budget",,,wmo,Greece,MED,Europe
a870f13e5c474c078d8b4d3421e212aa,2025-11-21T20:58:00Z,Precipitation,βροχόπτωση ελλάδα,www.protothema.gr,el,1.0,"Schüler in Vonica brauchten wegen schlechten Wetters die Feuerwehr, um nach Hause zurückzukehren – Video ansehen. Aufgrund des starken Regens wurden Dutzende Häuser und Geschäfte überschwemmt, während die Straßen reißenden Fluten ähneln | Schlechtes Wetter | Vonitsa | Westgriechenland | Griechenland",Μαθητές στη Βόνιτσα χρειάστηκαν πυροσβεστικό για να επιστρέψουν στα σπίτια τους λόγω της κακοκαιρίας - Δείτε βίντεο,"Από την έντονη βροχόπτωση δεκάδες σπίτια και καταστήματα πλημμύρισαν, ενώ οι δρόμοι θυμίζουν χειμάρρους | Κακοκαιρία | Βόνιτσα | Δυτική Ελλάδα | Ελλάδα","Pupils in Vonica needed fire brigade to return home due to bad weather - Watch video. Due to the heavy rain, dozens of houses and shops were flooded, while the streets resemble torrents | Bad weather | Vonitsa | Western Greece | Greece","Pupilli in Vonica alam igne necessariam domum redire ob tempestatibus tempestatibus - Vigilate video. Ob pluviam, justos domorum et tabernarum inundantur, cum plateae torrentibus similes | Bad weather | Vonitsa | Western Greece | Graecia",https://www.protothema.gr/greece/article/1731056/mathites-sti-vonitsa-hreiastikan-purosvestiko-gia-na-epistrepsoun-sta-spitia-tous-deite-video/,https://www.protothema.gr/images/640x360share/jpg/files/2025-11-21/xrwma-bonitsa.jpg,,"Bianchet Haute Horlogerie, tourbillon.",,,wmo,Greece,MED,Europe
c9f03d1c42dcae12d1a021a0ebe6fadb,2025-11-22T21:36:00Z,Precipitation,βροχόπτωση ελλάδα,www.protothema.gr,el,1.0,"Das Land wird weiterhin von schlechtem Wetter heimgesucht – der Regen ist weg, der Schnee kommt. Meteorologen sind sich uneinig, da nächste Woche im ganzen Land heftiger Regen erwartet wird | Schlechtes Wetter | Schneefall | Wetter | Niederschlag | Griechenland",Σε κλοιό κακοκαιρίας συνεχίζει να βρίσκεται η χώρα - Φεύγουν οι βροχές έρχονται τα χιόνια,"Διχογνωμία μεταξύ των  μετεωρολόγων, ενώ αναμένονται έντονες βροχοπτώσεις σε όλη τη χώρα την ερχόμενη εβδομάδα | Κακοκαιρία | Χιονοπτώσεις | Καιρός | Βροχόπτωση | Ελλάδα","The country continues to be in the grip of bad weather - The rains are gone, the snows are coming. Forecasters divided as heavy rain expected across country next week | Bad weather | Snowfall | Weather | Precipitation | Greece","Patria tempestatibus in manibus esse pergit - The rains are gone, the snow are coming. Forecasters sicut pluvia expectata per regionem proximam hebdomade divisa | Bad weather | Snowfall | Tempestas | Praecipitatio | Graecia",https://www.protothema.gr/greece/article/1731518/se-kloio-kakokairias-sunehizei-na-vrisketai-i-hora-feugoun-oi-vrohes-erhodai-ta-hionia/,https://www.protothema.gr/images/640x360share/jpg/files/2025-11-22/athenscold-xrm.jpg,,", , .meteo.gr, , . 24/11 22/11.
, 7-8 °C 24/11 15-17 °C 17-19 °C , ., .
, « », . , ».
« ..
.
..
. ».
GFS , .
, , .
, , .
, , , , , , .
, . « , ! /», .
... 
« "" "" ! , .
. .
, 24 26 , 18… [+719 chars]",,,wmo,Greece,MED,Europe
c1c79e3bc8152918176e5acd8409b78e,2025-11-23T07:23:17Z,Precipitation,βροχόπτωση αλβανία,www.newsit.gr,el,1.0,"Tödliche Überschwemmungen in Albanien: Ältere Frau wurde von Bach mitgerissen und ertrank – Hunderte fliehen aus ihren Häusern. In Albanien ist eine ältere Frau an den Folgen von Sturzfluten infolge starker Regenfälle gestorben. Es entstanden große Schäden an Straßen und... 
Der Artikel Tödliche Überschwemmungen in Albanien: Eine ältere Frau wurde von einem Bach mitgerissen und ertrank...",Φονικές πλημμύρες στην Αλβανία: Ηλικιωμένη παρασύρθηκε από ρέμα και πνίγηκε – Εκατοντάδες εγκατέλειψαν τα σπίτια τους,"Μία ηλικιωμένη γυναίκα έχασε τη ζωή της στην Αλβανία, από τις σαρωτικές πλημμύρες που προκλήθηκαν μετά την έντονη βροχόπτωση. Τεράστιες ζημιές προκλήθηκαν σε δρόμους και ... 
To άρθρο Φονικές πλημμύρες στην Αλβανία: Ηλικιωμένη παρασύρθηκε από ρέμα και πνίγηκε…","Deadly floods in Albania: Elderly woman swept away by stream and drowned - Hundreds flee their homes. An elderly woman has died in Albania, from flash floods caused by heavy rain. Huge damage was caused to roads and... 
The article Deadly floods in Albania: An elderly woman was swept away by a stream and drowned...","In Epiro mortifera inundat: Anus flumine rapitur et submergitur - Centum fugiunt domos suas. Anus in Albania mortua est e diluviis imbribus imbribus. Ingens damnum in itineribus et... 
Articulus Letalis inundat in Albania: Anus rapitur rivo et submersus est ...",https://www.newsit.gr/kosmos/fonikes-plimmyres-stin-alvania-ilikiomeni-parasyrthike-apo-rema-kai-pnigike-ekatontades-egkateleipsan-ta-spitia-tous/4533311/,https://www.newsit.gr/wp-content/uploads/2025/11/albania-plimmires-r4-1200x630.jpg,,", . .
 75 (22.11.2025) , . , . , .
REUTERS/Florion Goga
REUTERS/Florion Goga
Severe flooding this afternoon in Kurbin, Lezhë County, after torrential rainfall hit northwestern Albania.Homes, road… [+242 chars]",,,cmeter,Albania,MED,Europe
